Lowest losses:
ID: mnli_3811, Loss: 0.018661927431821823
ID: stsb_1301, Loss: 0.022324008867144585
ID: stsb_727, Loss: 0.02428990602493286
ID: mrpc_1657, Loss: 0.025719473138451576
ID: wnli_136, Loss: 0.030391883105039597
Highest losses:
ID: korean-2807245034690443837-5, Loss: 0.8856794238090515
ID: korean--2885837157239647036-2, Loss: 0.8874690532684326
ID: conll_2003_en_6, Loss: 0.8975370526313782
ID: zh_4, Loss: 0.9016909003257751
ID: korean-3268522368206106332-0, Loss: 0.9181175827980042
